"cmRate","population","medianIncome","pctPoverty","avgHouse","medianAge","medianAgeM","medianAgeF","pctHS","pctBach","pctEmployed","pctUnemployed","pctPrivateHC","pctEmployerHC","pctPublicHC","pctWhite","pctBlack","pctAsian","pctOther","rmRace","pctMarried","pctMarriedHouse","birthRate","region","state","county"
191.2,25859,38013,18.6,2.28,45.4,44.6,46.2,36.4,7.9,47.8,7.9,66.3,39.9,43.3,92.9214088,4.925407567,0.338357428,0.065364503,"white",62.1,57.17325767,4.687789513,"Southeast","Alabama","Cherokee County"
187.9,82005,39922,17.2,2.55,40.5,39.4,41.9,34.7,9.1,49.7,7.3,62.6,42.1,35.3,95.69320077,1.19063793,0.557030816,0.737355648,"white",57.6,54.8502573,3.913308575,"Southeast","Alabama","Cullman County"
217.4,41131,26602,35.2,2.53,38.7,36.2,40,34.6,8.2,43.5,16.4,48.1,28.5,50.4,28.66869099,69.18441904,0.341604593,0.16131328,"black",33.4,30.98763176,8.433257358,"Southeast","Alabama","Dallas County"
193.8,81468,54298,14.4,2.65,37.9,36.7,39.1,35.4,13.4,52.2,8.3,74.2,48,31.3,75.516016,21.21887498,0.516325545,0.678528534,"white",51,54.32620153,5.800146592,"Southeast","Alabama","Elmore County"
205.8,16759,35664,20.6,2.36,43.2,41.3,46.1,38.8,8.4,44.8,10,65.3,38.3,43.4,85.546875,12.38754735,0.390625,0,"white",53.6,51.49921842,5.73089701,"Southeast","Alabama","Fayette County"
202.2,13886,34553,20.6,2.27,43.7,42.7,44.3,37.1,6.8,47,10.2,59,34.6,45.3,87.38413642,11.07337437,0.021226916,0.629731833,"white",61.6,55.5392636,7.489134069,"Southeast","Alabama","Lamar County"
164.7,353089,58833,14.2,2.46,37.8,36.4,39.3,21.3,24.7,59,8.5,74.3,50,27.3,68.92979408,24.08425173,2.488757007,0.845461526,"white",49.8,48.18933417,5.111191026,"Southeast","Alabama","Madison County"
189.8,30168,37707,20.2,2.34,44.1,42.9,44.7,34.5,7.4,46.8,9.9,64.9,39.5,40.2,93.6189818,3.850330734,0.283015763,0.0691085,"white",57.6,54.04278748,4.196551198,"Southeast","Alabama","Marion County"
200.5,40844,36779,21.3,2.48,42.8,42.4,43.3,34.4,11.3,47.8,9,61.1,36.8,43.2,70.29378174,27.71122397,0.036449348,0.826185211,"white",50.2,49.64161,5.462418119,"Southeast","Alabama","Tallapoosa County"
161.2,9529,59416,10.3,2.78,33,32.5,34,37.5,8.2,49.7,10,69.6,52,29.5,89.36052311,1.540507592,0.443311537,3.479995567,"white",49.6,48.6797142,7.95730228,"Southwest","Arizona","Greenlee County"
132.8,46461,37465,23.6,3.04,36.5,33.5,38.9,25.3,14.6,49.1,11.3,49.5,28,44.6,79.75484885,0.350519406,0.989951777,17.06498417,"white",53.1,53.67536949,6.643259725,"Southwest","Arizona","Santa Cruz County"
201.7,18433,36409,20.4,2.39,41.4,40.5,41.7,42.5,8.3,54.3,8.3,52,30.1,47.3,72.38268112,25.68469382,0.448454434,0.224227217,"white",49.8,46.13199018,7.128810226,"Southeast","Arkansas","Arkansas County"
195.3,61703,43466,16.6,2.58,38.8,37.9,39.8,38.7,10.1,52.5,7.9,57.4,40.1,38.5,90.93897778,1.13202047,1.65349485,1.196799896,"white",58,56.79732758,5.975420257,"Southeast","Arkansas","Crawford County"
230.9,17284,38597,22.3,2.49,40.1,38.5,41.8,45.8,9.1,52,8.6,54.2,37.3,42.9,74.87261693,23.02627812,0.618308811,0.223278182,"white",53,49.56634866,3.788634098,"Southeast","Arkansas","Cross County"
186.9,11965,33028,27.3,2.33,39.4,39.5,39.3,40.4,7.5,45.2,17.7,44,25.2,52.5,49.88286614,48.05719363,0.056547379,0.807819695,"white",44.2,38.22078907,5.621925509,"Southeast","Arkansas","Desha County"
190.6,18778,36801,24,2.43,37.5,34.1,39.3,35.5,13.6,48.7,14.3,54,33.6,40.6,68.09498399,28.7886873,0.266808965,1.659551761,"white",50.7,50.42384468,4.350706714,"Southeast","Arkansas","Drew County"
175,12204,33347,22.6,2.27,48,46.4,48.7,43,7.3,44.9,7.6,55.7,29.5,48.6,96.96498691,0.122709424,1.505235602,0,"white",62.2,58.26415094,8.096280088,"Southeast","Arkansas","Fulton County"
196.4,97177,40621,18.7,2.35,44.1,42.4,45.6,32.2,13.2,50.2,9.2,56.3,30.2,44.6,85.25692596,8.349320296,0.63122718,3.033397281,"white",50.9,47.04144949,3.943233157,"Southeast","Arkansas","Garland County"
176.9,26141,34923,19.7,2.5,38.1,36.9,39,41.1,11.5,51.1,6.2,57.9,38.5,39.6,91.89355958,1.916698804,0.979560355,2.209795604,"white",54.6,54.00059341,8.562113933,"Southeast","Arkansas","Johnson County"
205.5,12472,37691,18.2,2.39,41.7,38.5,43.1,40.6,7.1,47.3,8.8,58.8,36.9,42,73.76572327,20.6918239,0,2.625786164,"white",49.1,45.9150638,2.657444485,"Southeast","Arkansas","Little River County"
212.3,43908,40877,20.8,2.5,37.8,36.3,40.2,39.3,10,53.9,9.6,55.4,35,39.9,71.41253551,24.91752955,0.114542289,0.774305874,"white",45.7,43.88561321,7.403380449,"Southeast","Arkansas","Miller County"
229.9,7399,30682,28.1,2.27,45.2,43.7,46.9,41.2,7.7,44.9,12.8,42.4,22.4,56,55.91857902,40.68455854,0.5445352,1.166861144,"white",42.7,37.93103448,9.781931464,"Southeast","Arkansas","Monroe County"
187.2,20216,33127,22,2.56,43.1,42.4,44.8,39,7.8,46.3,9,47.1,22.5,52.7,92.74700452,0.206246317,0.427224514,2.175407582,"white",51.3,49.52597649,6.71641791,"Southeast","Arkansas","Polk County"
196.7,8291,39896,18.7,2.16,45.4,44.9,46.7,41.8,7.2,50.9,6.2,51.7,30.7,47.1,86.12235182,12.3184956,0.119019281,0.3808617,"white",56.5,50.31364349,7.01754386,"Southeast","Arkansas","Prairie County"
212.5,17469,37761,18.3,2.36,42.9,40.3,44.5,39.3,8.7,47.7,5.4,51.3,30.9,47.1,96.54704719,0.695111613,0.02825657,0.531223509,"white",56.4,51.20654397,7.27081138,"Southeast","Arkansas","Randolph County"
169,117460,55915,8.7,2.66,38.7,38.2,39.3,33.9,15.4,59.6,5.3,70,47.1,33.8,90.41314909,5.832227913,0.954907628,0.523574008,"white",55.6,55.44575522,5.129672006,"Southeast","Arkansas","Saline County"
179.5,17290,37014,20.4,2.81,34.9,33.8,35.7,34.9,4.6,56.5,9.3,51.1,35.1,39.7,66.33657633,4.870280287,0.532777392,24.35719249,"white",53.3,51.95061728,5.671792286,"Southeast","Arkansas","Sevier County"
202.9,26589,30489,33.4,2.51,37.5,36.6,39.6,39.7,7.1,42.4,11.7,45.2,27.7,48.4,43.44121412,51.87420004,0.288901079,2.062534284,"black",37.4,37.06256628,6.906077348,"Southeast","Arkansas","St. Francis County"
